date,LT1,PT1
2022-09-02 08:00:00,49.88,3591.56
2022-09-02 07:00:00,52.69,3824.41
2022-09-02 06:00:00,54.13,4001.81
2022-09-02 05:00:00,55.28,4061.23
2022-09-02 04:00:00,57.28,3682.48
2022-09-02 03:00:00,58.84,3763.25
2022-09-02 02:00:00,60.56,3693.78
2022-09-02 01:00:00,61.99,3668.79
2022-09-02 00:00:00,63.60,3926.59
2022-09-01 23:00:00,64.04,4006.78
2022-09-01 22:00:00,64.37,4058.22
2022-09-01 21:00:00,65.54,3871.60
2022-09-01 20:00:00,67.81,3848.78
2022-09-01 19:00:00,71.52,3790.98
2022-09-01 18:00:00,74.19,4272.83
2022-09-01 17:00:00,76.88,3946.38
2022-09-01 16:00:00,79.85,3769.71
2022-09-01 15:00:00,82.07,3879.24
2022-09-01 14:00:00,56.58,3531.40
2022-09-01 13:00:00,46.42,3647.12
2022-09-01 12:00:00,48.25,3778.44
2022-09-01 11:00:00,49.66,3810.31
2022-09-01 10:00:00,50.71,3816.44
2022-09-01 09:00:00,52.40,3883.98
2022-09-01 08:00:00,54.32,4126.19
2022-09-01 07:00:00,55.88,4319.96
2022-09-01 06:00:00,57.80,4470.82
2022-09-01 05:00:00,60.04,4317.40
2022-09-01 04:00:00,63.17,3724.49
2022-09-01 03:00:00,65.61,3774.75
2022-09-01 02:00:00,67.02,3685.17
2022-09-01 01:00:00,68.40,3831.14
2022-09-01 00:00:00,69.23,3691.11
2022-08-31 23:00:00,69.57,3749.52
2022-08-31 22:00:00,71.26,3739.11
2022-08-31 21:00:00,73.77,3779.50
2022-08-31 20:00:00,77.29,3887.56
2022-08-31 19:00:00,80.48,4268.93
2022-08-31 18:00:00,83.14,3679.80
2022-08-31 17:00:00,57.46,3361.64
2022-08-31 16:00:00,36.99,3819.18
2022-08-31 15:00:00,38.99,3832.49
2022-08-31 14:00:00,42.05,3624.09
2022-08-31 13:00:00,45.47,3739.66
2022-08-31 12:00:00,47.30,3911.09
2022-08-31 11:00:00,48.64,3925.19
2022-08-31 10:00:00,45.80,3872.49
2022-08-31 09:00:00,20.39,3991.51
2022-08-31 08:00:00,16.87,4087.45
